scaled_features,Exited
"[1.0732410343916199,-1.0189022035876123,-0.3294205389157971,0.09798913406328658,-1.039040761758242,-1.3342758555096281,-0.7320491812025733,0.7748578372390554,1.3051274493010556,0.01416412973324428]",1
"[1.0732410343916199,1.623344785208039,-0.44980039292599105,-0.0019142180163445482,-1.4063310916569278,0.030677462805769884,-0.7320491812025733,-1.2904782399831956,1.3051274493010556,0.20809304773685117]",0
"[1.0732410343916199,-1.0189022035876123,-1.6098244406605875,0.09798913406328658,1.1647012176338718,1.2660714002834572,2.751585756430477,0.7748578372390554,-0.7661605604670605,0.23215705944145562]",1
"[1.0732410343916199,-1.0189022035876123,0.546069308431068,-0.2017209221756068,-1.4063310916569278,-1.3342758555096281,1.0097682876139518,-1.2904782399831956,-0.7661605604670605,-0.11615755152073182]",0
"[1.0732410343916199,1.623344785208039,2.1985563952982763,0.19789248614291768,-1.039040761758242,0.7098809842365083,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-0.37156933596517067]",0
"[-1.0652794878379066,1.623344785208039,-0.04488633852806591,0.2977958382225488,1.1647012176338718,0.5184301960296473,1.0097682876139518,0.7748578372390554,-0.7661605604670605,0.852821418637051]",1
"[-1.0652794878379066,-1.0189022035876123,1.8921349487268733,0.8972159507003356,0.7974108877351862,-1.3342758555096281,1.0097682876139518,0.7748578372390554,1.3051274493010556,-1.5673514301969578]",0
"[1.0732410343916199,0.3022212908102134,-2.9066437770431315,-1.200754442971918,-0.3044601019608708,0.5394556718717993,4.493403225247002,0.7748578372390554,-0.7661605604670605,0.3259763693170206]",1
"[-1.0652794878379066,-1.0189022035876123,-1.620768063752423,0.2977958382225488,-0.3044601019608708,0.9792670432919031,1.0097682876139518,-1.2904782399831956,1.3051274493010556,-0.4433564898677897]",0
"[-1.0652794878379066,-1.0189022035876123,0.38191496205353087,-1.4005611471311803,-1.039040761758242,0.8579769077052737,-0.7320491812025733,0.7748578372390554,1.3051274493010556,-0.49905182454090546]",0
